Species,Barcode,Community,DNA_Ratio,DNA_conc_ng_uL,Total_DNA,Note
Bodianus pulcher,16S,Coastal_Skew_2,6,12,72,
Chromis punctipinnis,16S,Coastal_Skew_2,6,12,72,
Citharichthys sordidus,16S,Coastal_Skew_2,1,12,12,
Engraulis mordax,16S,Coastal_Skew_2,1,12,12,
Girella nigricans,16S,Coastal_Skew_2,6,12,72,
Halichoeres californica,16S,Coastal_Skew_2,1,12,12,
Halichoeres semicinctus,16S,Coastal_Skew_2,1,12,12,
Myliobatis californica,16S,Coastal_Skew_2,1,12,12,
Paralabrax clathratus,16S,Coastal_Skew_2,1,12,12,
Stereolepis gigas,16S,Coastal_Skew_2,6,12,72,
Triakis semifasciata,16S,Coastal_Skew_2,6,12,72,
Citharichthys sordidus,16S,Coastal_Even,1,30,30,
Citharichthys stigmaeus,16S,Coastal_Even,1,30,30,
Citharichthys xanthostigma,16S,Coastal_Even,1,30,30,
Engraulis mordax,16S,Coastal_Even,1,30,30,
Sardinops sagax,16S,Coastal_Even,1,30,30,
Sebastes paucispinis,16S,Coastal_Even,1,30,30,
Ophiodon elongatus,16S,Coastal_Even,1,30,30,
Paralabrax clathratus,16S,Coastal_Even,1,30,30,
Paralabrax maculatofasciatus,16S,Coastal_Even,1,30,30,
Paralabrax nebulifer,16S,Coastal_Even,1,30,30,
Scorpaenichthys marmoratus,16S,Coastal_Even,1,30,30,
Atractoscion nobilis,16S,Coastal_Even,1,30,30,
Bodianus pulcher,16S,Coastal_Even,1,30,30,
Carcharodon carcharias,16S,Coastal_Even,1,30,30,
Chromis punctipinnis,16S,Coastal_Even,1,30,30,
Girella nigricans,16S,Coastal_Even,1,30,30,
Halichoeres californica,16S,Coastal_Even,1,30,30,
Halichoeres semicinctus,16S,Coastal_Even,1,30,30,
Hypsopsetta guttulata,16S,Coastal_Even,1,30,30,
Hypsypops rubicundus,16S,Coastal_Even,1,30,30,
Menticirrhus undulatus,16S,Coastal_Even,1,30,30,
Mustelus californicus,16S,Coastal_Even,1,30,30,
Myliobatis californica,16S,Coastal_Even,1,30,30,
Roncador stearnsii,16S,Coastal_Even,1,30,30,
Paralichthys californicus,16S,Coastal_Even,1,30,30,
Rhinobatos productus,16S,Coastal_Even,1,30,30,
Squatina californica,16S,Coastal_Even,1,30,30,
Stereolepis gigas,16S,Coastal_Even,1,30,30,
Symphurus atricauda,16S,Coastal_Even,1,30,30,
Torpedo californicus,16S,Coastal_Even,1,30,30,
Triakis semifasciata,16S,Coastal_Even,1,30,30,
Umbrina roncador,16S,Coastal_Even,1,30,30,
Urobatis halleri,16S,Coastal_Even,1,30,30,
Bathylagoides wesethi,16S,Oceanic_Even,1,30,30,
Diogenichthys atlanticus,16S,Oceanic_Even,1,30,30,
Leuroglossus stilbius,16S,Oceanic_Even,1,30,30,
Lipolagus ochotensis,16S,Oceanic_Even,1,30,30,
Merluccius productus,16S,Oceanic_Even,1,30,30,
Nannobrachium ritteri,16S,Oceanic_Even,1,30,30,
Protomyctophum crockeri,16S,Oceanic_Even,1,30,30,
Stenobrachius leucopsarus,16S,Oceanic_Even,1,30,30,
Symbolophorus californiensis,16S,Oceanic_Even,1,30,30,
Trachurus symmetricus,16S,Oceanic_Even,1,30,30,
Triphoturus mexicanus,16S,Oceanic_Even,1,30,30,
Vinciguerria lucetia,16S,Oceanic_Even,1,30,30,
Citharichthys sordidus,16S,Oceanic_Even,1,30,30,
Citharichthys stigmaeus,16S,Oceanic_Even,1,30,30,
Citharichthys xanthostigma,16S,Oceanic_Even,1,30,30,
Engraulis mordax,16S,Oceanic_Even,1,30,30,
Sardinops sagax,16S,Oceanic_Even,1,30,30,
Sebastes paucispinis,16S,Oceanic_Even,1,30,30,
Ophiodon elongatus,16S,North_Even,1,30,30,
Paralabrax clathratus,16S,North_Even,1,30,30,
Paralabrax maculatofasciatus,16S,North_Even,1,30,30,
Paralabrax nebulifer,16S,North_Even,1,30,30,
Scorpaenichthys marmoratus,16S,North_Even,1,30,30,
Bathyraja abyssicola,16S,North_Even,1,30,30,
Hippoglossus stenolepis,16S,North_Even,1,30,30,
Oncorhynchus clarkii,16S,North_Even,1,30,30,
Oncorhynchus gorbuscha,16S,North_Even,1,30,30,
Oncorhynchus keta,16S,North_Even,1,30,30,
Oncorhynchus kisutch,16S,North_Even,1,30,30,
Oncorhynchus mykiss,16S,North_Even,1,30,30,
Oncorhynchus nerka,16S,North_Even,1,30,30,
Oncorhynchus tshawytscha,16S,North_Even,1,30,30,
Squalus acanthias,16S,North_Even,1,30,30,
Thaleichthys pacificus,16S,North_Even,1,30,30,
Citharichthys sordidus,16S,North_Even,1,30,30,
Citharichthys stigmaeus,16S,North_Even,1,30,30,
Citharichthys xanthostigma,16S,North_Even,1,30,30,
Engraulis mordax,16S,North_Even,1,30,30,
Sardinops sagax,16S,North_Even,1,30,30,
Sebastes paucispinis,16S,North_Even,1,30,30,
